Order ID,Date,Product,Price,Quantity,Purchase Type,Payment Method
20146,2023-01-28,Burgers,12.99,647.4,In-store,Cash
20147,2023-01-28,Chicken Sandwiches,9.95,213.65,Drive-thru,Credit Card
20148,2023-01-28,Fries,3.49,641.69,Drive-thru,Cash
20149,2023-01-28,Beverages,2.95,699.39,In-store,Credit Card
20150,2023-01-28,Sides & Other,4.99,231.34,In-store,Gift Card
20151,2023-01-29,Burgers,12.99,559.07,Online,Cash
20152,2023-01-29,Chicken Sandwiches,9.95,230.1,Online,Cash
20153,2023-01-29,Fries,3.49,606.99,In-store,Credit Card
20154,2023-01-29,Beverages,2.95,627.12,In-store,Gift Card
20155,2023-01-29,Sides & Other,4.99,209.87,Online,Gift Card
20156,2023-01-30,Burgers,12.99,395.43,Online,Credit Card
20157,2023-01-30,Chicken Sandwiches,9.95,206.46,In-store,Credit Card
20158,2023-01-30,Fries,3.49,507.7,Drive-thru,Gift Card
20159,2023-01-30,Beverages,2.95,459.4,In-store,Cash
20160,2023-01-30,Sides & Other,4.99,171.63,In-store,Gift Card
20161,2023-01-31,Burgers,12.99,397.05,Online,Gift Card
20162,2023-01-31,Chicken Sandwiches,9.95,193.35,Online,Gift Card
20163,2023-01-31,Fries,3.49,545.37,In-store,Cash
20164,2023-01-31,Beverages,2.95,482.32,In-store,Gift Card
20165,2023-01-31,Sides & Other,4.99,184.2,Online,Gift Card
20166,2023-02-01,Burgers,12.99,500.64,Online,Credit Card
20167,2023-02-01,Chicken Sandwiches,9.95,210.4,Drive-thru,Credit Card
20168,2023-02-01,Fries,3.49,622.23,Online,Gift Card
20169,2023-02-01,Beverages,2.95,554.06,In-store,Cash
20170,2023-02-01,Sides & Other,4.99,159.0,In-store,Credit Card
20171,2023-02-02,Burgers,12.99,438.89,Online,Credit Card
20172,2023-02-02,Chicken Sandwiches,9.95,177.74,In-store,Credit Card
20173,2023-02-02,Fries,3.49,555.56,In-store,Gift Card
20174,2023-02-02,Beverages,2.95,568.13,Online,Credit Card
20175,2023-02-02,Sides & Other,4.99,184.65,Drive-thru,Credit Card
20176,2023-02-03,Burgers,12.99,598.34,Online,Cash
20177,2023-02-03,Chicken Sandwiches,9.95,223.41,Online,Credit Card
20178,2023-02-03,Fries,3.49,698.35,Online,Credit Card
20179,2023-02-03,Beverages,2.95,636.63,Online,Credit Card
20180,2023-02-03,Sides & Other,4.99,282.27,In-store,Credit Card
20181,2023-02-04,Burgers,12.99,663.96,Drive-thru,Credit Card
20182,2023-02-04,Chicken Sandwiches,9.95,229.98,Drive-thru,Cash
20183,2023-02-04,Fries,3.49,678.6,In-store,Cash
20184,2023-02-04,Beverages,2.95,742.98,In-store,Cash
20185,2023-02-04,Sides & Other,4.99,223.86,In-store,Gift Card
20186,2023-02-05,Burgers,12.99,607.62,Drive-thru,Cash
20187,2023-02-05,Chicken Sandwiches,9.95,240.07,Drive-thru,Cash
20188,2023-02-05,Fries,3.49,655.73,In-store,Credit Card
20189,2023-02-05,Beverages,2.95,636.76,Drive-thru,Credit Card
20190,2023-02-05,Sides & Other,4.99,165.27,In-store,Cash
20191,2023-02-06,Burgers,12.99,423.11,Drive-thru,Credit Card
20192,2023-02-06,Chicken Sandwiches,9.95,194.2,In-store,Credit Card
20193,2023-02-06,Fries,3.49,520.17,In-store,Credit Card
20194,2023-02-06,Beverages,2.95,487.65,In-store,Credit Card
20195,2023-02-06,Sides & Other,4.99,167.5,Online,Cash
20196,2023-02-07,Burgers,12.99,474.38,Online,Cash
20197,2023-02-07,Chicken Sandwiches,9.95,167.56,In-store,Cash
20198,2023-02-07,Fries,3.49,535.19,In-store,Credit Card
20199,2023-02-07,Beverages,2.95,533.27,In-store,Cash
20200,2023-02-07,Sides & Other,4.99,141.85,Drive-thru,Credit Card
20201,2023-02-08,Burgers,12.99,498.04,In-store,Credit Card
20202,2023-02-08,Chicken Sandwiches,9.95,205.19,In-store,Gift Card
20203,2023-02-08,Fries,3.49,594.75,Online,Credit Card
20204,2023-02-08,Beverages,2.95,585.23,In-store,Cash
20205,2023-02-08,Sides & Other,4.99,143.47,Drive-thru,Credit Card
20206,2023-02-09,Burgers,12.99,436.6,Online,Cash
20207,2023-02-09,Chicken Sandwiches,9.95,204.28,Drive-thru,Credit Card
20208,2023-02-09,Fries,3.49,575.52,In-store,Credit Card
20209,2023-02-09,Beverages,2.95,572.3,In-store,Credit Card
20210,2023-02-09,Sides & Other,4.99,273.64,Online,Credit Card
20211,2023-02-10,Burgers,12.99,584.36,In-store,Cash
20212,2023-02-10,Chicken Sandwiches,9.95,249.15,In-store,Cash
20213,2023-02-10,Fries,3.49,678.95,In-store,Credit Card
20214,2023-02-10,Beverages,2.95,661.91,Drive-thru,Credit Card
20215,2023-02-10,Sides & Other,4.99,195.4,Drive-thru,Cash
20216,2023-02-11,Burgers,12.99,672.18,In-store,Credit Card
20217,2023-02-11,Chicken Sandwiches,9.95,232.17,In-store,Gift Card
20218,2023-02-11,Fries,3.49,715.22,Drive-thru,Credit Card
20219,2023-02-11,Beverages,2.95,712.79,In-store,Cash
20220,2023-02-11,Sides & Other,4.99,233.74,In-store,Cash
20221,2023-02-12,Burgers,12.99,1045.76,Drive-thru,Gift Card
20222,2023-02-12,Chicken Sandwiches,9.95,277.47,Drive-thru,Gift Card
20223,2023-02-12,Fries,3.49,1028.98,Online,Cash
20224,2023-02-12,Beverages,2.95,922.6,Drive-thru,Cash
20225,2023-02-12,Sides & Other,4.99,293.85,Online,Cash
20226,2023-02-13,Burgers,12.99,490.09,Online,Cash
20227,2023-02-13,Chicken Sandwiches,9.95,179.67,In-store,Credit Card
20228,2023-02-13,Fries,3.49,480.02,In-store,Cash
20229,2023-02-13,Beverages,2.95,499.36,Drive-thru,Cash
20230,2023-02-13,Sides & Other,4.99,179.1,Drive-thru,Credit Card
20231,2023-02-14,Burgers,12.99,551.35,In-store,Credit Card
20232,2023-02-14,Chicken Sandwiches,9.95,244.93,In-store,Credit Card
20233,2023-02-14,Fries,3.49,691.24,Drive-thru,Credit Card
20234,2023-02-14,Beverages,2.95,672.22,In-store,Cash
20235,2023-02-14,Sides & Other,4.99,285.43,Drive-thru,Credit Card
20236,2023-02-15,Burgers,12.99,511.13,In-store,Cash
20237,2023-02-15,Chicken Sandwiches,9.95,153.62,In-store,Credit Card
20238,2023-02-15,Fries,3.49,564.46,In-store,Gift Card
20239,2023-02-15,Beverages,2.95,544.06,Drive-thru,Cash
20240,2023-02-15,Sides & Other,4.99,198.97,Online,Cash
20241,2023-02-16,Burgers,12.99,443.49,In-store,Credit Card
20242,2023-02-16,Chicken Sandwiches,9.95,191.72,In-store,Cash
20243,2023-02-16,Fries,3.49,575.22,Online,Gift Card
20244,2023-02-16,Beverages,2.95,580.72,In-store,Cash
20245,2023-02-16,Sides & Other,4.99,147.89,Drive-thru,Cash
20246,2023-02-17,Burgers,12.99,534.99,In-store,Credit Card
20247,2023-02-17,Chicken Sandwiches,9.95,212.21,In-store,Credit Card
20248,2023-02-17,Fries,3.49,616.52,In-store,Cash
20249,2023-02-17,Beverages,2.95,692.66,In-store,Credit Card
20250,2023-02-17,Sides & Other,4.99,216.01,In-store,Credit Card
20251,2023-02-18,Burgers,12.99,547.67,Drive-thru,Credit Card
20252,2023-02-18,Chicken Sandwiches,9.95,276.01,In-store,Cash
20253,2023-02-18,Fries,3.49,818.79,In-store,Cash
20254,2023-02-18,Beverages,2.95,760.14,In-store,Credit Card
20255,2023-02-18,Sides & Other,4.99,181.93,In-store,Credit Card
20256,2023-02-19,Burgers,12.99,540.57,In-store,Credit Card
20257,2023-02-19,Chicken Sandwiches,9.95,258.74,Drive-thru,Credit Card
20258,2023-02-19,Fries,3.49,630.43,Drive-thru,Cash
20259,2023-02-19,Beverages,2.95,673.3,In-store,Credit Card
20260,2023-02-19,Sides & Other,4.99,232.5,In-store,Cash
20261,2023-02-20,Burgers,12.99,442.36,Online,Credit Card
20262,2023-02-20,Chicken Sandwiches,9.95,195.13,Drive-thru,Cash
20263,2023-02-20,Fries,3.49,454.08,Drive-thru,Cash
20264,2023-02-20,Beverages,2.95,541.79,Online,Credit Card
20265,2023-02-20,Sides & Other,4.99,173.53,In-store,Credit Card
20266,2023-02-21,Burgers,12.99,400.81,In-store,Cash
20267,2023-02-21,Chicken Sandwiches,9.95,215.24,Drive-thru,Credit Card
20268,2023-02-21,Fries,3.49,484.37,Drive-thru,Cash
20269,2023-02-21,Beverages,2.95,521.91,In-store,Cash
20270,2023-02-21,Sides & Other,4.99,171.96,Drive-thru,Credit Card
20271,2023-02-22,Burgers,12.99,549.41,Online,Gift Card
20272,2023-02-22,Chicken Sandwiches,9.95,165.37,In-store,Credit Card
20273,2023-02-22,Fries,3.49,597.45,In-store,Cash
20274,2023-02-22,Beverages,2.95,560.19,Online,Credit Card
20275,2023-02-22,Sides & Other,4.99,153.33,Drive-thru,Credit Card
20276,2023-02-23,Burgers,12.99,502.98,Drive-thru,Cash
20277,2023-02-23,Chicken Sandwiches,9.95,197.98,In-store,Cash
20278,2023-02-23,Fries,3.49,537.89,Online,Cash
20279,2023-02-23,Beverages,2.95,561.62,In-store,Gift Card
20280,2023-02-23,Sides & Other,4.99,168.17,Drive-thru,Credit Card
20281,2023-02-24,Burgers,12.99,559.42,In-store,Credit Card
20282,2023-02-24,Chicken Sandwiches,9.95,238.3,Drive-thru,Credit Card
20283,2023-02-24,Fries,3.49,703.49,Online,Cash
20284,2023-02-24,Beverages,2.95,609.78,In-store,Gift Card
20285,2023-02-24,Sides & Other,4.99,265.47,Drive-thru,Cash
20286,2023-02-25,Burgers,12.99,505.06,Drive-thru,Credit Card
20287,2023-02-25,Chicken Sandwiches,9.95,248.27,Drive-thru,Gift Card
20288,2023-02-25,Fries,3.49,751.45,In-store,Cash
20289,2023-02-25,Beverages,2.95,736.69,Drive-thru,Credit Card
20290,2023-02-25,Sides & Other,4.99,210.94,In-store,Cash
20291,2023-02-26,Burgers,12.99,556.02,In-store,Gift Card
20292,2023-02-26,Chicken Sandwiches,9.95,217.33,Online,Credit Card
20293,2023-02-26,Fries,3.49,635.15,Online,Credit Card
20294,2023-02-26,Beverages,2.95,684.79,In-store,Cash
20295,2023-02-26,Sides & Other,4.99,220.24,In-store,Credit Card
20296,2023-02-27,Burgers,12.99,412.36,Online,Credit Card
20297,2023-02-27,Chicken Sandwiches,9.95,194.99,In-store,Cash
20298,2023-02-27,Fries,3.49,523.06,In-store,Gift Card
20299,2023-02-27,Beverages,2.95,533.09,Drive-thru,Credit Card
20300,2023-02-27,Sides & Other,4.99,177.95,In-store,Gift Card
20301,2023-02-28,Burgers,12.99,419.67,In-store,Cash
20302,2023-02-28,Chicken Sandwiches,9.95,173.69,In-store,Cash
20303,2023-02-28,Fries,3.49,554.24,Drive-thru,Cash
20304,2023-02-28,Beverages,2.95,545.86,In-store,Cash
20305,2023-02-28,Sides & Other,4.99,168.38,In-store,Credit Card
20306,2023-03-01,Burgers,12.99,532.82,Drive-thru,Credit Card
20307,2023-03-01,Chicken Sandwiches,9.95,228.54,Drive-thru,Credit Card
20308,2023-03-01,Fries,3.49,571.58,Drive-thru,Credit Card
20309,2023-03-01,Beverages,2.95,642.45,Drive-thru,Credit Card
20310,2023-03-01,Sides & Other,4.99,183.45,Drive-thru,Credit Card
20311,2023-03-02,Burgers,12.99,515.42,In-store,Credit Card
20312,2023-03-02,Chicken Sandwiches,9.95,224.82,In-store,Credit Card
20313,2023-03-02,Fries,3.49,622.41,Drive-thru,Cash
20314,2023-03-02,Beverages,2.95,649.61,In-store,Credit Card
20315,2023-03-02,Sides & Other,4.99,223.29,In-store,Cash
20316,2023-03-03,Burgers,12.99,606.99,Online,Cash
20317,2023-03-03,Chicken Sandwiches,9.95,248.59,In-store,Credit Card
20318,2023-03-03,Fries,3.49,668.92,In-store,Credit Card
20319,2023-03-03,Beverages,2.95,731.91,In-store,Credit Card
20320,2023-03-03,Sides & Other,4.99,213.15,Drive-thru,Credit Card
20321,2023-03-04,Burgers,12.99,691.29,Online,Cash
20322,2023-03-04,Chicken Sandwiches,9.95,278.67,Drive-thru,Credit Card
20323,2023-03-04,Fries,3.49,732.49,Online,Credit Card
20324,2023-03-04,Beverages,2.95,889.22,Online,Cash
20325,2023-03-04,Sides & Other,4.99,210.86,In-store,Credit Card
20326,2023-03-05,Burgers,12.99,547.15,In-store,Credit Card
20327,2023-03-05,Chicken Sandwiches,9.95,266.75,Online,Credit Card
20328,2023-03-05,Fries,3.49,733.01,Online,Credit Card
20329,2023-03-05,Beverages,2.95,760.53,In-store,Cash
20330,2023-03-05,Sides & Other,4.99,242.37,In-store,Credit Card
20331,2023-03-06,Burgers,12.99,484.0,Drive-thru,Credit Card
20332,2023-03-06,Chicken Sandwiches,9.95,168.7,Online,Credit Card
20333,2023-03-06,Fries,3.49,547.88,Drive-thru,Cash
20334,2023-03-06,Beverages,2.95,560.75,Online,Credit Card
20335,2023-03-06,Sides & Other,4.99,197.4,Drive-thru,Credit Card
20336,2023-03-07,Burgers,12.99,493.13,In-store,Gift Card
20337,2023-03-07,Chicken Sandwiches,9.95,175.62,Online,Credit Card
20338,2023-03-07,Fries,3.49,552.21,Drive-thru,Cash
20339,2023-03-07,Beverages,2.95,606.89,Drive-thru,Gift Card
20340,2023-03-07,Sides & Other,4.99,165.2,In-store,Credit Card
20341,2023-03-08,Burgers,12.99,484.04,Drive-thru,Credit Card
20342,2023-03-08,Chicken Sandwiches,9.95,207.07,In-store,Credit Card
20343,2023-03-08,Fries,3.49,601.59,In-store,Credit Card
20344,2023-03-08,Beverages,2.95,614.09,Drive-thru,Credit Card
20345,2023-03-08,Sides & Other,4.99,176.34,In-store,Cash
20346,2023-03-09,Burgers,12.99,538.77,Drive-thru,Credit Card
20347,2023-03-09,Chicken Sandwiches,9.95,171.93,Drive-thru,Gift Card
20348,2023-03-09,Fries,3.49,542.31,Drive-thru,Cash
20349,2023-03-09,Beverages,2.95,608.4,Drive-thru,Gift Card
20350,2023-03-09,Sides & Other,4.99,183.15,In-store,Cash
20351,2023-03-10,Burgers,12.99,624.3,Drive-thru,Gift Card
20352,2023-03-10,Chicken Sandwiches,9.95,267.54,Online,Credit Card
20353,2023-03-10,Fries,3.49,717.1,In-store,Credit Card
20354,2023-03-10,Beverages,2.95,716.94,Drive-thru,Cash
20355,2023-03-10,Sides & Other,4.99,216.53,In-store,Credit Card
20356,2023-03-11,Burgers,12.99,617.08,Drive-thru,Cash
20357,2023-03-11,Chicken Sandwiches,9.95,262.11,Online,Cash
20358,2023-03-11,Fries,3.49,757.18,Drive-thru,Credit Card
20359,2023-03-11,Beverages,2.95,827.33,In-store,Credit Card
20360,2023-03-11,Sides & Other,4.99,217.0,In-store,Credit Card
20361,2023-03-12,Burgers,12.99,653.35,In-store,Gift Card
20362,2023-03-12,Chicken Sandwiches,9.95,275.93,Online,Cash
20363,2023-03-12,Fries,3.49,694.9,Online,Gift Card
20364,2023-03-12,Beverages,2.95,753.47,Drive-thru,Credit Card
20365,2023-03-12,Sides & Other,4.99,244.3,In-store,Cash
20366,2023-03-13,Burgers,12.99,465.42,In-store,Cash
20367,2023-03-13,Chicken Sandwiches,9.95,190.13,Online,Credit Card
20368,2023-03-13,Fries,3.49,545.79,Drive-thru,Cash
20369,2023-03-13,Beverages,2.95,579.93,In-store,Credit Card
20370,2023-03-13,Sides & Other,4.99,154.89,In-store,Credit Card
20371,2023-03-14,Burgers,12.99,501.6,Drive-thru,Gift Card
20372,2023-03-14,Chicken Sandwiches,9.95,201.73,In-store,Cash
20373,2023-03-14,Fries,3.49,612.61,In-store,Gift Card
20374,2023-03-14,Beverages,2.95,620.86,Online,Cash
20375,2023-03-14,Sides & Other,4.99,233.41,In-store,Credit Card
20376,2023-03-15,Burgers,12.99,486.89,In-store,Gift Card
20377,2023-03-15,Chicken Sandwiches,9.95,220.12,In-store,Cash
20378,2023-03-15,Fries,3.49,599.38,Online,Cash
20379,2023-03-15,Beverages,2.95,686.64,Drive-thru,Credit Card
20380,2023-03-15,Sides & Other,4.99,167.43,In-store,Credit Card
20381,2023-03-16,Burgers,12.99,483.13,Drive-thru,Cash
20382,2023-03-16,Chicken Sandwiches,9.95,189.56,Drive-thru,Credit Card
20383,2023-03-16,Fries,3.49,516.62,Drive-thru,Gift Card
20384,2023-03-16,Beverages,2.95,613.58,In-store,Cash
20385,2023-03-16,Sides & Other,4.99,168.73,In-store,Gift Card
20386,2023-03-17,Burgers,12.99,614.71,Drive-thru,Credit Card
20387,2023-03-17,Chicken Sandwiches,9.95,240.47,In-store,Cash
20388,2023-03-17,Fries,3.49,759.11,Drive-thru,Credit Card
20389,2023-03-17,Beverages,2.95,751.29,Online,Gift Card
20390,2023-03-17,Sides & Other,4.99,199.57,In-store,Credit Card
20391,2023-03-18,Burgers,12.99,624.11,Online,Credit Card
20392,2023-03-18,Chicken Sandwiches,9.95,275.89,Drive-thru,Cash
20393,2023-03-18,Fries,3.49,709.08,In-store,Cash
20394,2023-03-18,Beverages,2.95,880.1,Online,Credit Card
20395,2023-03-18,Sides & Other,4.99,285.95,Drive-thru,Credit Card
20396,2023-03-19,Burgers,12.99,592.79,Online,Cash
20397,2023-03-19,Chicken Sandwiches,9.95,196.39,Online,Gift Card
20398,2023-03-19,Fries,3.49,756.81,In-store,Cash
20399,2023-03-19,Beverages,2.95,737.08,In-store,Gift Card
20400,2023-03-19,Sides & Other,4.99,261.38,Drive-thru,Cash
20401,2023-03-20,Burgers,12.99,408.43,In-store,Credit Card
20402,2023-03-20,Chicken Sandwiches,9.95,174.39,Drive-thru,Gift Card
20403,2023-03-20,Fries,3.49,545.55,In-store,Credit Card
20404,2023-03-20,Beverages,2.95,578.67,Drive-thru,Credit Card
20405,2023-03-20,Sides & Other,4.99,162.74,Drive-thru,Cash
